date,time,sex,confirmed,deceased
5/28/2020,0,male,4727,142
5/28/2020,0,female,6617,127
5/29/2020,0,male,4759,142
5/29/2020,0,female,6643,127
5/30/2020,0,male,4780,142
5/30/2020,0,female,6661,127
5/31/2020,0,male,4795,143
5/31/2020,0,female,6673,127
6/1/2020,0,male,4806,143
6/1/2020,0,female,6697,128
6/2/2020,0,male,4829,144
6/2/2020,0,female,6712,128
6/3/2020,0,male,4852,145
6/3/2020,0,female,6738,128
6/4/2020,0,male,4872,145
6/4/2020,0,female,6757,128
6/5/2020,0,male,4893,145
6/5/2020,0,female,6775,128
6/6/2020,0,male,4920,145
6/6/2020,0,female,6799,128
6/7/2020,0,male,4950,145
6/7/2020,0,female,6826,128
6/8/2020,0,male,4962,145
6/8/2020,0,female,6852,128
6/9/2020,0,male,4980,146
6/9/2020,0,female,6872,128
6/10/2020,0,male,5002,147
6/10/2020,0,female,6900,129
6/11/2020,0,male,5030,147
6/11/2020,0,female,6917,129
6/12/2020,0,male,5061,147
6/12/2020,0,female,6942,130
6/13/2020,0,male,5081,147
6/13/2020,0,female,6970,130
6/14/2020,0,male,5097,147
6/14/2020,0,female,6988,130
6/15/2020,0,male,5116,147
6/15/2020,0,female,7005,130
6/16/2020,0,male,5138,148
6/16/2020,0,female,7017,130
6/17/2020,0,male,5156,149
6/17/2020,0,female,7042,130
6/18/2020,0,male,5181,150
6/18/2020,0,female,7076,130
6/19/2020,0,male,5206,150
6/19/2020,0,female,7100,130
6/20/2020,0,male,5245,150
6/20/2020,0,female,7128,130
6/21/2020,0,male,5270,150
6/21/2020,0,female,7151,130
6/22/2020,0,male,5279,150
6/22/2020,0,female,7159,130
6/23/2020,0,male,5314,150
6/23/2020,0,female,7170,131
6/24/2020,0,male,5345,150
6/24/2020,0,female,7190,131
6/25/2020,0,male,5360,151
6/25/2020,0,female,7203,131
6/26/2020,0,male,5384,151
6/26/2020,0,female,7218,131
6/27/2020,0,male,5412,151
6/27/2020,0,female,7241,131
6/28/2020,0,male,5450,151
6/28/2020,0,female,7265,131
6/29/2020,0,male,5470,151
6/29/2020,0,female,7287,131
6/30/2020,0,male,5495,151
6/30/2020,0,female,7305,131
