date,time,age,confirmed,deceased
6/3/2020,0,70s,738,81
6/3/2020,0,80s,499,133
6/4/2020,0,0s,160,0
6/4/2020,0,10s,661,0
6/4/2020,0,20s,3193,0
6/4/2020,0,30s,1308,2
6/4/2020,0,40s,1537,3
6/4/2020,0,50s,2079,15
6/4/2020,0,60s,1445,39
6/4/2020,0,70s,744,81
6/4/2020,0,80s,502,133
6/5/2020,0,0s,161,0
6/5/2020,0,10s,663,0
6/5/2020,0,20s,3198,0
6/5/2020,0,30s,1310,2
6/5/2020,0,40s,1540,3
6/5/2020,0,50s,2086,15
6/5/2020,0,60s,1455,39
6/5/2020,0,70s,751,81
6/5/2020,0,80s,504,133
6/6/2020,0,0s,164,0
6/6/2020,0,10s,664,0
6/6/2020,0,20s,3200,0
6/6/2020,0,30s,1316,2
6/6/2020,0,40s,1551,3
6/6/2020,0,50s,2094,15
6/6/2020,0,60s,1464,39
6/6/2020,0,70s,759,81
6/6/2020,0,80s,507,133
6/7/2020,0,0s,165,0
6/7/2020,0,10s,670,0
6/7/2020,0,20s,3203,0
6/7/2020,0,30s,1322,2
6/7/2020,0,40s,1559,3
6/7/2020,0,50s,2105,15
6/7/2020,0,60s,1476,39
6/7/2020,0,70s,767,81
6/7/2020,0,80s,509,133
6/8/2020,0,0s,166,0
6/8/2020,0,10s,672,0
6/8/2020,0,20s,3208,0
6/8/2020,0,30s,1324,2
6/8/2020,0,40s,1564,3
6/8/2020,0,50s,2111,15
6/8/2020,0,60s,1487,39
6/8/2020,0,70s,770,81
6/8/2020,0,80s,512,133
6/9/2020,0,0s,166,0
6/9/2020,0,10s,672,0
6/9/2020,0,20s,3211,0
6/9/2020,0,30s,1326,2
6/9/2020,0,40s,1568,3
6/9/2020,0,50s,2121,15
6/9/2020,0,60s,1496,39
6/9/2020,0,70s,775,81
6/9/2020,0,80s,517,134
6/10/2020,0,0s,167,0
6/10/2020,0,10s,674,0
6/10/2020,0,20s,3217,0
6/10/2020,0,30s,1335,2
6/10/2020,0,40s,1569,3
6/10/2020,0,50s,2128,15
6/10/2020,0,60s,1512,39
6/10/2020,0,70s,782,81
6/10/2020,0,80s,518,136
6/11/2020,0,0s,168,0
6/11/2020,0,10s,677,0
6/11/2020,0,20s,3223,0
6/11/2020,0,30s,1345,2
6/11/2020,0,40s,1574,3
6/11/2020,0,50s,2137,15
6/11/2020,0,60s,1517,39
6/11/2020,0,70s,787,81
6/11/2020,0,80s,519,136
6/12/2020,0,0s,168,0
6/12/2020,0,10s,680,0
6/12/2020,0,20s,3234,0
6/12/2020,0,30s,1353,2
6/12/2020,0,40s,1575,3
6/12/2020,0,50s,2154,15
6/12/2020,0,60s,1530,40
6/12/2020,0,70s,789,81
6/12/2020,0,80s,520,136
6/13/2020,0,0s,168,0
6/13/2020,0,10s,681,0
6/13/2020,0,20s,3243,0
6/13/2020,0,30s,1354,2
6/13/2020,0,40s,1578,3
6/13/2020,0,50s,2163,15
6/13/2020,0,60s,1538,40
6/13/2020,0,70s,796,81
6/13/2020,0,80s,530,136
6/14/2020,0,0s,168,0
6/14/2020,0,10s,681,0
6/14/2020,0,20s,3251,0
6/14/2020,0,30s,1357,2
6/14/2020,0,40s,1584,3
6/14/2020,0,50s,2170,15
6/14/2020,0,60s,1546,40
6/14/2020,0,70s,797,81
6/14/2020,0,80s,531,136
6/15/2020,0,0s,170,0
6/15/2020,0,10s,681,0
6/15/2020,0,20s,3256,0
6/15/2020,0,30s,1362,2
6/15/2020,0,40s,1595,3
6/15/2020,0,50s,2176,15
6/15/2020,0,60s,1550,40
6/15/2020,0,70s,799,81
6/15/2020,0,80s,532,136
6/16/2020,0,0s,172,0
6/16/2020,0,10s,682,0
6/16/2020,0,20s,3259,0
6/16/2020,0,30s,1366,2
6/16/2020,0,40s,1599,3
6/16/2020,0,50s,2182,15
6/16/2020,0,60s,1558,40
6/16/2020,0,70s,805,81
6/16/2020,0,80s,532,137
6/17/2020,0,0s,174,0
6/17/2020,0,10s,683,0
6/17/2020,0,20s,3267,0
6/17/2020,0,30s,1380,2
6/17/2020,0,40s,1601,3
6/17/2020,0,50s,2189,15
6/17/2020,0,60s,1561,40
6/17/2020,0,70s,810,81
6/17/2020,0,80s,533,138
6/18/2020,0,0s,175,0
6/18/2020,0,10s,684,0
6/18/2020,0,20s,3277,0
6/18/2020,0,30s,1384,2
6/18/2020,0,40s,1607,3
6/18/2020,0,50s,2198,15
6/18/2020,0,60s,1574,40
6/18/2020,0,70s,817,81
6/18/2020,0,80s,541,139
6/19/2020,0,0s,175,0
6/19/2020,0,10s,686,0
6/19/2020,0,20s,3285,0
6/19/2020,0,30s,1393,2
6/19/2020,0,40s,1610,3
6/19/2020,0,50s,2210,15
6/19/2020,0,60s,1585,40
6/19/2020,0,70s,820,81
6/19/2020,0,80s,542,139
6/20/2020,0,0s,177,0
6/20/2020,0,10s,690,0
6/20/2020,0,20s,3294,0
6/20/2020,0,30s,1406,2
6/20/2020,0,40s,1618,3
6/20/2020,0,50s,2222,15
6/20/2020,0,60s,1598,40
6/20/2020,0,70s,823,81
6/20/2020,0,80s,545,139
6/21/2020,0,0s,177,0
6/21/2020,0,10s,691,0
6/21/2020,0,20s,3299,0
6/21/2020,0,30s,1416,2
6/21/2020,0,40s,1623,3
6/21/2020,0,50s,2230,15
6/21/2020,0,60s,1608,40
6/21/2020,0,70s,829,81
6/21/2020,0,80s,548,139
6/22/2020,0,0s,177,0
6/22/2020,0,10s,692,0
6/22/2020,0,20s,3302,0
6/22/2020,0,30s,1420,2
6/22/2020,0,40s,1624,3
6/22/2020,0,50s,2235,15
6/22/2020,0,60s,1610,40
6/22/2020,0,70s,830,81
6/22/2020,0,80s,548,139
6/23/2020,0,0s,180,0
6/23/2020,0,10s,692,0
6/23/2020,0,20s,3306,0
6/23/2020,0,30s,1429,2
6/23/2020,0,40s,1633,3
6/23/2020,0,50s,2244,15
6/23/2020,0,60s,1617,41
6/23/2020,0,70s,834,81
6/23/2020,0,80s,549,139
6/24/2020,0,0s,182,0
6/24/2020,0,10s,693,0
6/24/2020,0,20s,3309,0
6/24/2020,0,30s,1444,2
6/24/2020,0,40s,1644,3
6/24/2020,0,50s,2254,15
6/24/2020,0,60s,1622,41
6/24/2020,0,70s,836,81
6/24/2020,0,80s,551,139
6/25/2020,0,0s,183,0
6/25/2020,0,10s,696,0
6/25/2020,0,20s,3309,0
6/25/2020,0,30s,1453,2
6/25/2020,0,40s,1646,3
6/25/2020,0,50s,2260,15
6/25/2020,0,60s,1627,41
6/25/2020,0,70s,838,82
6/25/2020,0,80s,551,139
6/26/2020,0,0s,184,0
6/26/2020,0,10s,698,0
6/26/2020,0,20s,3317,0
6/26/2020,0,30s,1463,2
6/26/2020,0,40s,1651,3
6/26/2020,0,50s,2264,15
6/26/2020,0,60s,1633,41
6/26/2020,0,70s,839,82
6/26/2020,0,80s,553,139
6/27/2020,0,0s,185,0
6/27/2020,0,10s,700,0
6/27/2020,0,20s,3331,0
6/27/2020,0,30s,1473,2
6/27/2020,0,40s,1657,3
6/27/2020,0,50s,2269,15
6/27/2020,0,60s,1640,41
6/27/2020,0,70s,843,82
6/27/2020,0,80s,555,139
6/28/2020,0,0s,187,0
6/28/2020,0,10s,703,0
6/28/2020,0,20s,3343,0
6/28/2020,0,30s,1485,2
6/28/2020,0,40s,1667,3
6/28/2020,0,50s,2275,15
6/28/2020,0,60s,1653,41
6/28/2020,0,70s,846,82
6/28/2020,0,80s,556,139
6/29/2020,0,0s,190,0
6/29/2020,0,10s,704,0
6/29/2020,0,20s,3352,0
6/29/2020,0,30s,1490,2
6/29/2020,0,40s,1673,3
6/29/2020,0,50s,2280,15
6/29/2020,0,60s,1665,41
6/29/2020,0,70s,847,82
6/29/2020,0,80s,556,139
6/30/2020,0,0s,193,0
6/30/2020,0,10s,708,0
6/30/2020,0,20s,3362,0
6/30/2020,0,30s,1496,2
6/30/2020,0,40s,1681,3
6/30/2020,0,50s,2286,15
6/30/2020,0,60s,1668,41
6/30/2020,0,70s,850,82
6/30/2020,0,80s,556,139
